"code_muni","year","biome","LV","LTA","UR","SDII","TASMAX","TASMIN","PREC_MEAN","PREC_SUM"
"3517109",2003,"Mata Atlantica",0,0,70.0466666666667,4.5,27.2958333333333,18.74,4.01916666666667,122.033333333333
"3517208",2003,"Mata Atlantica",0,0,63.9666666666667,4.525,29.1625,18.6641666666667,4.18916666666667,126.706666666667
"3517307",2003,"Mata Atlantica",0,0,63.7541666666667,4.70833333333333,29.5908333333333,18.4491666666667,4.0525,122.774166666667
"3517406",2003,"Cerrado",0,0,63.1075,4.475,30.1416666666667,18.7333333333333,4.1,124.205833333333
"3517505",2003,"Mata Atlantica",0,0,64.9841666666667,4.21666666666667,28.7083333333333,18.5675,4.07583333333333,124.321666666667
"3517604",2003,"Mata Atlantica",0,0,64.0825,4.45,29.0825,18.9075,3.9825,120.9025
"3517703",2003,"Cerrado",0,0,64.0841666666667,4.74166666666667,29.8566666666667,17.5416666666667,4.37583333333333,132.401666666667
"3517901",2003,"Cerrado",0,0,76.5041666666667,4.675,25.4766666666667,17.4216666666667,4.11083333333333,124.438333333333
"3518008",2003,"Mata Atlantica",0,0,63.39,4.41666666666667,29.91,17.6958333333333,4.2225,127.851666666667
"3518107",2003,"Mata Atlantica",0,0,81.3958333333333,5.38333333333333,23.8566666666667,17.4,4.22416666666667,128.8575
"3518305",2003,"Mata Atlantica",0,0,73.5575,4.65,25.4883333333333,17.7891666666667,4.2,127.209166666667
"3518503",2003,"Cerrado",0,0,81.7483333333333,5.01666666666667,24.4575,18.83,4.16166666666667,125.884166666667
"3518602",2003,"Cerrado",0,0,80.325,5.05833333333333,24.6083333333333,18.6158333333333,4.05666666666667,122.875
"3518701",2003,"Mata Atlantica",0,0,68.495,4.54166666666667,27.8016666666667,18.9066666666667,4.08916666666667,123.94
"3518859",2003,"Cerrado",0,0,76.5041666666667,4.675,25.4766666666667,18.7441666666667,4.05666666666667,123.671666666667
"3518909",2003,"Mata Atlantica",0,0,65.3808333333333,4.80833333333333,28.5483333333333,19.0758333333333,3.92416666666667,119.125833333333
"3519006",2003,"Mata Atlantica",0,0,64.9066666666667,4.63333333333333,28.6816666666667,17.3808333333333,4.14083333333333,125.489166666667
"3519055",2003,"Cerrado",0,0,63.1308333333333,4.53333333333333,30.1241666666667,17.1491666666667,3.98333333333333,120.755
