"code_muni","year","biome","LTA"
1100098,2002,1,0.00251907831369934
1100098,2003,1,0.00362212790867847
1100098,2004,1,0.00282016053221491
1100098,2005,1,0.00207305740224462
1101005,2001,1,0.00184747265740467
1101005,2002,1,0.00303812851283609
1101005,2003,1,0.00257289879931389
1101005,2004,1,0.00304024321945756
1101005,2005,1,0.00197076695680736
1100106,2001,1,0.00119519886074662
1100106,2002,1,0.00120727382479439
1100106,2003,1,0.000995941538231706
1100106,2004,1,0.000591847303395724
1100106,2005,1,0.000635184325605257
1101104,2001,1,0.000973303670745272
1101104,2002,1,0.00148648648648649
1101104,2003,1,0.000395152792413066
1101104,2004,1,0.000771406531241965
1101104,2005,1,0.000628140703517588
1100114,2001,1,0.0010450087084059
1100114,2002,1,0.00132428405893064
1100114,2003,1,0.000682581264066709
1100114,2004,1,0.00127664298401421
1100114,2005,1,0.00103907670612684
1100122,2001,1,0.000924348424982782
1100122,2002,1,0.000842807445396837
1100122,2003,1,0.000745818091415989
1100122,2004,1,0.000809253639442319
1100122,2005,1,0.000784505151583829
1100130,2001,1,8.22943669505822e-05
1100130,2002,1,0.00237144776886289
1100130,2003,1,0.00266920877025739
1100130,2004,1,0.00272921737847606
1100130,2005,1,0.00214377590395884
1101203,2001,1,0.000698202129516495
1101203,2002,1,0.000352609308885755
1101203,2003,1,0.00133475707421249
1101203,2004,1,0.00125718390804598
1101203,2005,1,0.00108735048930772
1101302,2001,1,0.00075340917652377
1101302,2002,1,0.0012952380952381
1101302,2003,1,0.00238681860178626
1101302,2004,1,0.00233354075917859
1101302,2005,1,0.00180732358950181
1101401,2001,1,0
1101401,2002,1,0.000980244307042678
1101401,2003,1,0.00305400372439479
1101401,2004,1,0.00301870122220586
1101401,2005,1,0.00196563774024461
1100148,2001,1,0.000940314757992675
1100148,2002,1,0.00207684319833853
1100148,2003,1,0.00370589979246961
1100148,2004,1,0.00271551298508936
1100148,2005,1,0.00207212985347082
1100338,2001,1,0.00174010316325896
1100338,2002,1,0.00146955090524336
1100338,2003,1,0.00145527818202172
1100338,2004,1,0.00176583904109589
1100338,2005,1,0.00143626570915619
1101435,2001,1,0.000120279047389945
1101435,2002,1,0.002551950419249
1101435,2003,1,0.00184049079754601
1101435,2004,1,0.00210578471448037
1101435,2005,1,0.00137517189648706
1100502,2001,1,0.000814464896562958
1100502,2002,1,0.000747508305647841
1100502,2003,1,0.00177664974619289
1100502,2004,1,0.00223983459682977
1100502,2005,1,0.00201772085270638
1100155,2001,1,0.0012082839950702
1100155,2002,1,0.000901537486903341
1100155,2003,1,0.000785738840053037
1100155,2004,1,0.000420552655666329
1100155,2005,1,0.000573208722741433
1101450,2001,1,0.00545171339563863
1101450,2002,1,0.0122684026039059
1101450,2003,1,0.0118816682832202
1101450,2004,1,0.0145882352941176
1101450,2005,1,0.00708733424782807
1100189,2001,1,0.00339470303994128
1100189,2002,1,0.0024886191198786
1100189,2003,1,0.00219985535197686
1100189,2004,1,0.0023647030651341
1100189,2005,1,0.00163549317553302
1101468,2001,1,0.000391542678151919
1101468,2002,1,0
1101468,2003,1,0.000797766254487435
1101468,2004,1,0.000402414486921529
1101468,2005,1,0
1100205,2001,1,0.000279764545636945
1100205,2002,1,0.000273943332082325
1100205,2003,1,0.000404919775269525
