"code_muni","year","PREC_MEAN"
"2703502",2002,7.02916666666667
"2703502",2003,6.78166666666667
"2703502",2004,6.86916666666667
"2703502",2005,6.63916666666667
"2703601",2001,7.19583333333333
"2703601",2002,6.61583333333333
"2703601",2003,6.4625
"2703601",2004,6.415
"2703601",2005,6.02166666666667
"2703700",2001,4.55333333333333
"2703700",2002,4.1
"2703700",2003,4.31916666666667
"2703700",2004,4.4925
"2703700",2005,4.26916666666667
"2703759",2001,6.52083333333333
"2703759",2002,5.93916666666667
"2703759",2003,6.26833333333333
"2703759",2004,6.16416666666667
"2703759",2005,5.71083333333333
"2703809",2001,6.95416666666667
"2703809",2002,6.36166666666667
"2703809",2003,6.31333333333333
"2703809",2004,6.49166666666667
"2703809",2005,6.305
"2703908",2001,7.45333333333333
"2703908",2002,6.86
"2703908",2003,6.67166666666667
"2703908",2004,6.82833333333333
"2703908",2005,6.69916666666667
"2704005",2001,6.11
"2704005",2002,5.59166666666667
"2704005",2003,5.84416666666667
"2704005",2004,5.93583333333333
"2704005",2005,5.70833333333333
"2704104",2001,5.33166666666667
"2704104",2002,4.845
"2704104",2003,5.08166666666667
"2704104",2004,5.21416666666667
"2704104",2005,4.98916666666667
"2704203",2001,6.11
"2704203",2002,5.59166666666667
"2704203",2003,5.84416666666667
"2704203",2004,5.93583333333333
"2704203",2005,5.70833333333333
"2704302",2001,6.84833333333333
"2704302",2002,6.21166666666667
"2704302",2003,6.3275
"2704302",2004,6.2175
"2704302",2005,5.76166666666667
"2704401",2001,4.11666666666667
"2704401",2002,3.65583333333333
"2704401",2003,3.88
"2704401",2004,4.07416666666667
"2704401",2005,3.80333333333333
"2704500",2001,7.74083333333333
"2704500",2002,7.19916666666667
"2704500",2003,6.895
"2704500",2004,6.90583333333333
"2704500",2005,6.58166666666667
"2704609",2001,3.61166666666667
"2704609",2002,3.10916666666667
"2704609",2003,3.42666666666667
"2704609",2004,3.60333333333333
"2704609",2005,3.2175
"2704708",2001,6.7475
"2704708",2002,6.15
"2704708",2003,6.38083333333333
"2704708",2004,6.21166666666667
"2704708",2005,5.68333333333333
"2704807",2001,6.5025
"2704807",2002,5.92833333333333
"2704807",2003,6.09916666666667
"2704807",2004,6.21083333333333
"2704807",2005,5.98083333333333
"2704906",2001,5.965
"2704906",2002,5.32333333333333
"2704906",2003,5.4675
"2704906",2004,5.8375
"2704906",2005,5.78083333333333
"2705002",2001,3.54
"2705002",2002,3.01916666666667
"2705002",2003,3.40666666666667
"2705002",2004,3.5725
"2705002",2005,3.15166666666667
"2705101",2001,7.38916666666667
"2705101",2002,6.775
"2705101",2003,6.67083333333333
"2705101",2004,6.7325
"2705101",2005,6.51666666666667
"2705200",2001,7.07083333333333
"2705200",2002,6.46083333333333
"2705200",2003,6.4875
"2705200",2004,6.54166666666667
"2705200",2005,6.29416666666667
"2705309",2001,4.35333333333333
"2705309",2002,3.915
"2705309",2003,4.0375
"2705309",2004,4.33916666666667
"2705309",2005,4.07916666666667
"2705408",2001,3.77916666666667
"2705408",2002,3.30083333333333
"2705408",2003,3.58
"2705408",2004,3.73333333333333
"2705408",2005,3.43166666666667
"2705507",2001,6.52166666666667
"2705507",2002,5.95
"2705507",2003,5.95333333333333
"2705507",2004,6.25083333333333
"2705507",2005,6.09333333333333
"2705606",2001,7.45333333333333
"2705606",2002,6.86
"2705606",2003,6.67166666666667
"2705606",2004,6.82833333333333
"2705606",2005,6.69916666666667
"2705705",2001,3.97
"2705705",2002,3.50416666666667
"2705705",2003,3.7325
"2705705",2004,3.93666666666667
"2705705",2005,3.6475
"2705804",2001,3.29833333333333
"2705804",2002,2.8
"2705804",2003,3.20833333333333
"2705804",2004,3.30916666666667
"2705804",2005,2.925
"2705903",2001,5.18916666666667
"2705903",2002,4.71583333333333
"2705903",2003,4.9825
"2705903",2004,5.07666666666667
"2705903",2005,4.7625
"2706000",2001,4.04
"2706000",2002,3.575
"2706000",2003,3.765
"2706000",2004,4.00416666666667
"2706000",2005,3.70833333333333
"2706109",2001,3.76833333333333
"2706109",2002,3.2625
"2706109",2003,3.53583333333333
"2706109",2004,3.74833333333333
"2706109",2005,3.365
"2706208",2001,3.83333333333333
"2706208",2002,3.36583333333333
"2706208",2003,3.67166666666667
"2706208",2004,3.79916666666667
"2706208",2005,3.52666666666667
"2706307",2001,5.15916666666667
"2706307",2002,4.6175
"2706307",2003,4.75
"2706307",2004,5.0875
"2706307",2005,4.93083333333333
"2706406",2001,3.57583333333333
"2706406",2002,3.08583333333333
"2706406",2003,3.43
"2706406",2004,3.54833333333333
"2706406",2005,3.2125
"2706422",2001,3.14583333333333
"2706422",2002,2.6575
"2706422",2003,3.1525
"2706422",2004,3.19666666666667
"2706422",2005,2.80833333333333
"2706448",2001,7.32833333333333
"2706448",2002,6.68583333333333
"2706448",2003,6.67083333333333
"2706448",2004,6.63833333333333
