"code_muni","year","PREC_SUM"
"2703403",2004,113.453333333333
"2703403",2005,103.7825
"2703502",2001,230.294166666667
"2703502",2002,213.17
"2703502",2003,206.095
"2703502",2004,208.9225
"2703502",2005,201.523333333333
"2703601",2001,218.095
"2703601",2002,200.525833333333
"2703601",2003,196.528333333333
"2703601",2004,195.07
"2703601",2005,182.809166666667
"2703700",2001,137.905
"2703700",2002,124.335833333333
"2703700",2003,131.06
"2703700",2004,136.614166666667
"2703700",2005,129.339166666667
"2703759",2001,197.675833333333
"2703759",2002,180.1925
"2703759",2003,190.571666666667
"2703759",2004,187.450833333333
"2703759",2005,173.176666666667
"2703809",2001,210.793333333333
"2703809",2002,192.908333333333
"2703809",2003,191.5925
"2703809",2004,197.474166666667
"2703809",2005,191.2475
"2703908",2001,225.909166666667
"2703908",2002,208.045
"2703908",2003,202.5875
"2703908",2004,207.766666666667
"2703908",2005,203.2825
"2704005",2001,185.148333333333
"2704005",2002,169.721666666667
"2704005",2003,177.445833333333
"2704005",2004,180.535
"2704005",2005,173.133333333333
"2704104",2001,161.528333333333
"2704104",2002,147.03
"2704104",2003,154.251666666667
"2704104",2004,158.5725
"2704104",2005,151.235
"2704203",2001,185.148333333333
"2704203",2002,169.721666666667
"2704203",2003,177.445833333333
"2704203",2004,180.535
"2704203",2005,173.133333333333
"2704302",2001,207.64
"2704302",2002,188.365
"2704302",2003,192.39
"2704302",2004,188.9975
"2704302",2005,174.831666666667
"2704401",2001,124.593333333333
"2704401",2002,110.691666666667
"2704401",2003,117.570833333333
"2704401",2004,123.848333333333
"2704401",2005,115.109166666667
"2704500",2001,234.675833333333
"2704500",2002,218.2925
"2704500",2003,209.600833333333
"2704500",2004,210.078333333333
"2704500",2005,199.765
"2704609",2001,109.194166666667
"2704609",2002,93.9516666666667
"2704609",2003,103.65
"2704609",2004,109.476666666667
"2704609",2005,97.2566666666667
"2704708",2001,204.578333333333
"2704708",2002,186.559166666667
"2704708",2003,194.084166666667
"2704708",2004,188.850833333333
"2704708",2005,172.444166666667
"2704807",2001,197.0875
"2704807",2002,179.8575
"2704807",2003,185.16
"2704807",2004,188.92
"2704807",2005,181.383333333333
"2704906",2001,180.625833333333
"2704906",2002,161.350833333333
"2704906",2003,165.613333333333
"2704906",2004,177.506666666667
"2704906",2005,175.324166666667
"2705002",2001,106.983333333333
"2705002",2002,91.1383333333333
"2705002",2003,102.963333333333
"2705002",2004,108.514166666667
"2705002",2005,95.245
"2705101",2001,224.010833333333
"2705101",2002,205.4075
"2705101",2003,202.6925
"2705101",2004,204.814166666667
"2705101",2005,197.7275
"2705200",2001,214.345833333333
"2705200",2002,195.985833333333
"2705200",2003,197.096666666667
"2705200",2004,198.9675
"2705200",2005,190.925
"2705309",2001,131.719166666667
"2705309",2002,118.5425
"2705309",2003,122.23
"2705309",2004,131.875
"2705309",2005,123.535
"2705408",2001,114.373333333333
"2705408",2002,99.94
"2705408",2003,108.493333333333
"2705408",2004,113.453333333333
"2705408",2005,103.7825
"2705507",2001,197.574166666667
"2705507",2002,180.4075
"2705507",2003,180.491666666667
"2705507",2004,190.131666666667
"2705507",2005,184.768333333333
"2705606",2001,225.909166666667
"2705606",2002,208.045
"2705606",2003,202.5875
"2705606",2004,207.766666666667
"2705606",2005,203.2825
"2705705",2001,120.155833333333
"2705705",2002,106.140833333333
"2705705",2003,113.0725
"2705705",2004,119.594166666667
"2705705",2005,110.3675
"2705804",2001,99.6683333333333
"2705804",2002,84.6308333333333
"2705804",2003,97.0408333333333
"2705804",2004,100.5425
"2705804",2005,88.385
"2705903",2001,157.245833333333
"2705903",2002,143.1025
"2705903",2003,151.285833333333
"2705903",2004,154.368333333333
"2705903",2005,144.311666666667
"2706000",2001,122.200833333333
"2706000",2002,108.2325
"2706000",2003,113.9675
"2706000",2004,121.641666666667
"2706000",2005,112.244166666667
"2706109",2001,113.956666666667
"2706109",2002,98.6116666666667
"2706109",2003,106.955833333333
"2706109",2004,113.943333333333
"2706109",2005,101.695833333333
"2706208",2001,116.065833333333
"2706208",2002,101.961666666667
"2706208",2003,111.281666666667
"2706208",2004,115.498333333333
"2706208",2005,106.610833333333
"2706307",2001,156.173333333333
"2706307",2002,139.9475
"2706307",2003,143.920833333333
"2706307",2004,154.69
"2706307",2005,149.430833333333
"2706406",2001,108.150833333333
"2706406",2002,93.3866666666667
"2706406",2003,103.839166666667
"2706406",2004,107.845
"2706406",2005,97.1041666666667
"2706422",2001,95.0216666666667
"2706422",2002,80.28
"2706422",2003,95.2941666666667
"2706422",2004,97.0858333333333
"2706422",2005,84.775
"2706448",2001,222.1125
"2706448",2002,202.769166666667
"2706448",2003,202.794166666667
"2706448",2004,201.860833333333
"2706448",2005,192.1725
"2706505",2001,224.010833333333
"2706505",2002,205.4075
"2706505",2003,202.6925
"2706505",2004,204.814166666667
"2706505",2005,197.7275
"2706604",2001,180.625833333333
"2706604",2002,161.350833333333
"2706604",2003,165.613333333333
"2706604",2004,177.506666666667
"2706604",2005,175.324166666667
"2706703",2001,202.590833333333
"2706703",2002,185.163333333333
"2706703",2003,196.2125
"2706703",2004,192.940833333333
"2706703",2005,181.389166666667
"2706802",2001,207.18
"2706802",2002,185.32
"2706802",2003,203.8475
"2706802",2004,193.984166666667
"2706802",2005,173.770833333333
"2706901",2001,211.288333333333
"2706901",2002,194.180833333333
"2706901",2003,198.789166666667
"2706901",2004,198.820833333333
"2706901",2005,188.536666666667
"2707008",2001,193.603333333333
"2707008",2002,175.28
"2707008",2003,178.506666666667
"2707008",2004,186.790833333333
"2707008",2005,182.501666666667
"2707107",2001,101.925
"2707107",2002,86.8333333333333
"2707107",2003,99.1841666666667
"2707107",2004,102.235833333333
"2707107",2005,90.425
"2707206",2001,106.176666666667
"2707206",2002,91.2766666666667
"2707206",2003,101.371666666667
"2707206",2004,105.976666666667
"2707206",2005,94.6675
"2707305",2001,230.294166666667
"2707305",2002,213.17
"2707305",2003,206.095
"2707305",2004,208.9225
"2707305",2005,201.523333333333
"2707404",2001,221.055
"2707404",2002,202.966666666667
"2707404",2003,199.610833333333
"2707404",2004,199.943333333333
"2707404",2005,190.268333333333
"2707503",2001,179.916666666667
"2707503",2002,164.133333333333
"2707503",2003,173.749166666667
"2707503",2004,173.654166666667
"2707503",2005,162.85
"2707602",2001,180.625833333333
"2707602",2002,161.350833333333
"2707602",2003,165.613333333333
"2707602",2004,177.506666666667
"2707602",2005,175.324166666667
"2707701",2001,214.345833333333
